"","id","status","address","address_google","location_type","pnt"
"268",253,"OK","Buhi","Buhi, Camarines Sur, Philippines","APPROXIMATE",c(123.5056016, 13.4412707)
"269",254,"OK","Bula","Bula, Camarines Sur, Philippines","APPROXIMATE",c(123.277158, 13.4689356)
"270",255,"OK","Bulakan","Bulakan, Bulacan, Philippines","APPROXIMATE",c(120.8799008, 14.7942735)
"271",256,"OK","Bulalacao","Bulalacao, Oriental Mindoro, Philippines","APPROXIMATE",c(121.3361897, 12.3443972)
"272",257,"OK","Bulan","Bulan, Sorsogon, Philippines","APPROXIMATE",c(123.8877345, 12.6649939)
"273",258,"OK","Buldon","Buldon, Maguindanao, Philippines","APPROXIMATE",c(124.3976356, 7.474826)
"274",259,"OK","Buluan","Buluan, Maguindanao, Philippines","APPROXIMATE",c(124.8016945, 6.7432665)
"275",260,"OK","Bulusan","Mount Bulusan, Bulusan, Sorsogon, Philippines","APPROXIMATE",c(124.0566666, 12.7691666)
"276",261,"OK","Bumbaran","Amai Manabilang, Lanao del Sur, Philippines","APPROXIMATE",c(124.6635297, 7.7452916)
"277",262,"OK","Bunawan","Bunawan, Agusan del Sur, Philippines","APPROXIMATE",c(126.0458437, 8.2164674)
"278",263,"OK","Burauen","Burauen, Leyte, Philippines","APPROXIMATE",c(124.8403408, 10.9710859)
"279",264,"OK","Burdeos","Burdeos, Quezon, Philippines","APPROXIMATE",c(121.9700618, 14.9362704)
"280",265,"OK","Burgos (IA)","Burgos, Spain","APPROXIMATE",c(-3.6893545, 42.3504659)
"282",266,"OK","Burgos (IN)","Burgos, Spain","APPROXIMATE",c(-3.6893545, 42.3504659)
"283",267,"OK","Burgos (IS)","Burgos, Spain","APPROXIMATE",c(-3.6893545, 42.3504659)
"285",268,"ZERO_RESULTS","Burgos (LU)",NA,NA,c(NA, NA)
"286",269,"ZERO_RESULTS","Burgos (PS)",NA,NA,c(NA, NA)
"287",270,"OK","Burgos (SN)","Burgos, Spain","APPROXIMATE",c(-3.6893545, 42.3504659)
"289",271,"OK","Buruanga","Buruanga, Aklan, Philippines","APPROXIMATE",c(121.9131761, 11.8259677)
"290",272,"OK","Bustos","Bustos, Bulacan, Philippines","APPROXIMATE",c(120.927572, 14.9379359)
"291",273,"OK","Busuanga","Busuanga, Palawan, Philippines","APPROXIMATE",c(119.9277947, 12.1586189)
"292",274,"OK","Butig","Butig, Lanao del Sur, Philippines","APPROXIMATE",c(124.297718, 7.6957167)
"293",275,"OK","Butuan","Butuan City, Agusan Del Norte, Philippines","APPROXIMATE",c(125.5406234, 8.9475377)
"294",276,"OK","Buug","Buug, Zamboanga Sibugay, Philippines","APPROXIMATE",c(123.0563914, 7.7407246)
"295",277,"OK","Caba","Caba, La Union, Philippines","APPROXIMATE",c(120.378138, 16.4474302)
"296",278,"OK","Cabadbaran","Cabadbaran City, Agusan Del Norte, Philippines","APPROXIMATE",c(125.537603, 9.1221925)
"297",279,"OK","Cabagan","Cabagan, Isabela, Philippines","APPROXIMATE",c(121.8790306, 17.3607797)
"298",280,"OK","Cabanatuan","Cabanatuan City, Nueva Ecija, Philippines","APPROXIMATE",c(120.973393, 15.4865047)
"299",281,"OK","Cabangan","Cabangan, Zambales, Philippines","APPROXIMATE",c(120.0552506, 15.1580579)
"300",282,"OK","Cabanglasan","Cabanglasan, Bukidnon, Philippines","APPROXIMATE",c(125.3246769, 8.0872584)
"301",283,"OK","Cabarroguis","Cabarroguis, Quirino, Philippines","APPROXIMATE",c(121.5141615, 16.4199058)
"302",284,"OK","Cabatuan (IA)","Cabatuan, Iloilo, Philippines","APPROXIMATE",c(122.5146439, 10.9091869)
"303",285,"OK","Cabatuan (IO)","Cabatuan, Iloilo, Philippines","APPROXIMATE",c(122.5146439, 10.9091869)
"304",286,"OK","Cabiao","Cabiao, Nueva Ecija, Philippines","APPROXIMATE",c(120.8728615, 15.228918)
"305",287,"OK","Cabucgayan","Cabucgayan, Biliran, Philippines","APPROXIMATE",c(124.5639142, 11.5016901)
"306",288,"OK","Cabugao","Cabugao, Ilocos Sur, Philippines","APPROXIMATE",c(120.4540193, 17.791812)
"307",289,"OK","Cabusao","Cabusao, Camarines Sur, Philippines","APPROXIMATE",c(123.0901539, 13.7350513)
"308",290,"OK","Cabuyao","Cabuyao, Laguna, Philippines","APPROXIMATE",c(121.1366715, 14.2471423)
"309",291,"OK","Cadiz","Cádiz, Spain","APPROXIMATE",c(-6.2804565, 36.5210142)
"312",292,"OK","Cagayan De Oro","Cagayan de Oro, Misamis Oriental, Philippines","APPROXIMATE",c(124.6497636, 8.4802729)
"313",293,"OK","Cagayancillo","Cagayancillo, Palawan, Philippines","APPROXIMATE",c(121.2397438, 9.634473)
"314",294,"OK","Cagdianao","Cagdianao, Dinagat Islands, Philippines","APPROXIMATE",c(125.6642155, 10.0174388)
"315",295,"OK","Cagwait","Cagwait, Surigao del Sur, Philippines","APPROXIMATE",c(126.301635, 8.8936805)
"316",296,"OK","Caibiran","Caibiran, Biliran, Philippines","APPROXIMATE",c(124.5639142, 11.560095)
"318",297,"OK","Cainta","Cainta, 1900 Rizal, Philippines","APPROXIMATE",c(121.114876, 14.5864844)
"319",298,"OK","Cajidiocan","Cajidiocan, Romblon, Philippines","APPROXIMATE",c(122.650351, 12.4006192)
"320",299,"OK","Calabanga","Calabanga, Camarines Sur, Philippines","APPROXIMATE",c(123.2812562, 13.7163289)
"321",300,"OK","Calaca","Calaca, Batangas, Philippines","APPROXIMATE",c(120.8269231, 13.9508989)
"322",301,"OK","Calamba (LA)","Calamba, 4027 Laguna, Philippines","APPROXIMATE",c(121.1250825, 14.1876712)
"323",302,"OK","Calamba (MC)","Calamba, 4027 Laguna, Philippines","APPROXIMATE",c(121.1250825, 14.1876712)
"324",303,"OK","Calanasan","Calanasan, Apayao, Philippines","APPROXIMATE",c(121.03351, 18.2479181)
"325",304,"OK","Calanogas","Calanogas, Lanao del Sur, Philippines","APPROXIMATE",c(124.0307246, 7.7383347)
"326",305,"OK","Calapan","Calapan, Oriental Mindoro, Philippines","APPROXIMATE",c(121.1645706, 13.3770935)
"327",306,"OK","Calape","Calape, Bohol, Philippines","APPROXIMATE",c(123.8746152, 9.8862984)
"328",307,"OK","Calasiao","Calasiao, Pangasinan, Philippines","APPROXIMATE",c(120.3550808, 15.9881323)
"329",308,"OK","Calatagan","Calatagan, Batangas, Philippines","APPROXIMATE",c(120.6314948, 13.8645656)
"330",309,"OK","Calatrava (NO)","Calatrava, Negros Occidental, Philippines","APPROXIMATE",c(123.481337, 10.5946019)
"332",310,"OK","Calatrava (RN)","Calatrava, Negros Occidental, Philippines","APPROXIMATE",c(123.481337, 10.5946019)
"333",311,"OK","Calauag","Calauag, Quezon, Philippines","APPROXIMATE",c(122.3573039, 14.0592792)
"334",312,"OK","Calauan","Calauan, Laguna, Philippines","APPROXIMATE",c(121.3198491, 14.1383725)
"335",313,"OK","Calayan","Calayan, Cagayan, Philippines","APPROXIMATE",c(121.4770988, 19.2618857)
"336",314,"OK","Calbayog","Calbayog City, Samar, Philippines","APPROXIMATE",c(124.5929574, 12.0675749)
"337",315,"OK","Calbiga","Calbiga, Samar, Philippines","APPROXIMATE",c(125.0608405, 11.5990317)
"338",316,"OK","Calinog","Calinog, Iloilo, Philippines","APPROXIMATE",c(122.5146439, 11.1457896)
"339",317,"OK","Calintaan","Calintaan, Occidental Mindoro, Philippines","APPROXIMATE",c(121.1022942, 12.6040937)
"340",318,"OK","Caloocan","Caloocan, Metro Manila, Philippines","APPROXIMATE",c(121.0449768, 14.7565784)
"341",319,"OK","Calumpit","Calumpit, Bulacan, Philippines","APPROXIMATE",c(120.7668562, 14.9081084)
"342",320,"OK","Caluya","Caluya, Antique, Philippines","APPROXIMATE",c(121.3908982, 12.0684185)
"343",321,"OK","Camalaniugan","Camalaniugan, Cagayan, Philippines","APPROXIMATE",c(121.6967438, 18.2753372)
"344",322,"OK","Camalig","Camalig, Albay, Philippines","APPROXIMATE",c(123.6386144, 13.1658685)
"345",323,"OK","Camaligan","Camaligan, Camarines Sur, Philippines","APPROXIMATE",c(123.1632665, 13.6282537)
"346",324,"OK","Camiling","Camiling, Tarlac, Philippines","APPROXIMATE",c(120.4182522, 15.6871913)
"347",325,"OK","Can-Avid","Can-avid, Eastern Samar, Philippines","APPROXIMATE",c(125.3246769, 11.9888576)
"348",326,"OK","Canaman","Canaman, Camarines Sur, Philippines","APPROXIMATE",c(123.1351527, 13.6475835)
"349",327,"OK","Candaba","Candaba, Pampanga, Philippines","APPROXIMATE",c(120.8728615, 15.1040545)
"350",328,"OK","Candelaria (QN)","Candelaria, Quezon, Philippines","APPROXIMATE",c(121.4326954, 13.9294023)
"351",329,"ZERO_RESULTS","Candelaria (ZA)",NA,NA,c(NA, NA)
"352",330,"OK","Candijay","Candijay, Bohol, Philippines","APPROXIMATE",c(124.4863567, 9.8257967)
"353",331,"OK","Candon","Candon, Ilocos Sur, Philippines","APPROXIMATE",c(120.4467176, 17.1874035)
"354",332,"OK","Candoni","Candoni, Negros Occidental, Philippines","APPROXIMATE",c(122.650351, 9.7610592)
"355",333,"OK","Canlaon","Canlaon City, Negros Oriental, Philippines","APPROXIMATE",c(123.1913722, 10.3604776)
"356",334,"OK","Cantilan","Cantilan, Surigao del Sur, Philippines","APPROXIMATE",c(125.9421877, 9.2828234)
"357",335,"OK","Caoayan","Caoayan, Ilocos Sur, Philippines","APPROXIMATE",c(120.3954282, 17.5382154)
"358",336,"OK","Capalonga","Capalonga, Camarines Norte, Philippines","APPROXIMATE",c(122.4693688, 14.2855935)
"359",337,"OK","Capas","Capas, Tarlac, Philippines","APPROXIMATE",c(120.59045, 15.333524)
"360",338,"OK","Capoocan","Capoocan, Leyte, Philippines","APPROXIMATE",c(124.6192702, 11.2320771)
"361",339,"OK","Capul","Municipality of Capul, Northern Samar, Philippines","APPROXIMATE",c(124.1643201, 12.4195328)
"362",340,"OK","Caraga","Caraga, Philippines","APPROXIMATE",c(125.7406882, 8.8014562)
"363",341,"OK","Caramoan","Caramoan, Camarines Sur, Philippines","APPROXIMATE",c(123.8500045, 13.8076519)
"364",342,"OK","Caramoran","Caramoran, Catanduanes, Philippines","APPROXIMATE",c(124.1754442, 13.819335)
"365",343,"OK","Carasi","Carasi, Ilocos Norte, Philippines","APPROXIMATE",c(120.8728615, 18.2130413)
"366",344,"OK","Carcar","Carcar City, Cebu, Philippines","APPROXIMATE",c(123.6399562, 10.1151105)
"367",345,"OK","Cardona","Cardona, Rizal, Philippines","APPROXIMATE",c(121.2291259, 14.4858559)
"368",346,"OK","Carigara","Carigara, Leyte, Philippines","APPROXIMATE",c(124.7077665, 11.2591386)
"369",347,"OK","Carles","Carles, Iloilo, Philippines","APPROXIMATE",c(123.2363246, 11.5687532)
"370",348,"ZERO_RESULTS","Carmen (AN)",NA,NA,c(NA, NA)
"371",349,"ZERO_RESULTS","Carmen (BL)",NA,NA,c(NA, NA)
"372",350,"ZERO_RESULTS","Carmen (CU)",NA,NA,c(NA, NA)
"373",351,"ZERO_RESULTS","Carmen (DN)",NA,NA,c(NA, NA)
"374",352,"OK","Carmen (NC)","Carmen, NC 28753, USA","APPROXIMATE",c(-82.640974, 36.0048281)
"375",353,"ZERO_RESULTS","Carmen (SS)",NA,NA,c(NA, NA)
"376",354,"OK","Carmona","Carmona, Cavite, Philippines","APPROXIMATE",c(121.0409961, 14.3108186)
"377",355,"OK","Carranglan","Carranglan, Nueva Ecija, Philippines","APPROXIMATE",c(121.03351, 15.975838)
"378",356,"OK","Carrascal","Carrascal, Surigao del Sur, Philippines","APPROXIMATE",c(125.8934136, 9.3983129)
"379",357,"OK","Casiguran (AU)","Casiguran, Aurora, Philippines","APPROXIMATE",c(122.0633195, 16.2277929)
"380",358,"OK","Casiguran (SO)","Casiguran, Aurora, Philippines","APPROXIMATE",c(122.0633195, 16.2277929)
"382",359,"OK","Castilla","Castilla, Sorsogon, Philippines","APPROXIMATE",c(123.8187977, 12.9551774)
"383",360,"OK","Castillejos","Castillejos, Zambales, Philippines","APPROXIMATE",c(120.1935663, 14.9438211)
"384",361,"OK","Cataingan","Cataingan, Masbate, Philippines","APPROXIMATE",c(123.9527031, 11.9858771)
"385",362,"OK","Catanauan","Catanauan, Quezon, Philippines","APPROXIMATE",c(122.323047, 13.5951814)
"386",363,"OK","Catarman (CM)","Catarman, Northern Samar, Philippines","APPROXIMATE",c(124.6414028, 12.4198447)
"387",364,"OK","Catarman (NS)","Catarman, Northern Samar, Philippines","APPROXIMATE",c(124.6414028, 12.4198447)
"388",365,"OK","Catbalogan","Catbalogan City, Samar, Philippines","APPROXIMATE",c(124.8403408, 11.8240433)
"389",366,"OK","Cateel","Cateel, Davao Oriental, Philippines","APPROXIMATE",c(126.3714756, 7.7649102)
"390",367,"OK","Catigbian","Catigbian, Bohol, Philippines","APPROXIMATE",c(124.0307246, 9.8493849)
"392",368,"OK","Catmon","Catmon, Cebu, Philippines","APPROXIMATE",c(124.0121178, 10.7208936)
"393",369,"OK","Catubig","Catubig, Northern Samar, Philippines","APPROXIMATE",c(125.0528834, 12.4088292)
"394",370,"OK","Cauayan (IA)","Cauayan City, Isabela, Philippines","APPROXIMATE",c(121.7879244, 16.9166244)
"395",371,"OK","Cauayan (NO)","Cauayan City, Isabela, Philippines","APPROXIMATE",c(121.7879244, 16.9166244)
"396",372,"OK","Cavinti","Cavinti, Laguna, Philippines","APPROXIMATE",c(121.5455292, 14.2646732)
"397",373,"OK","Cavite","Cavite City, Cavite, Philippines","APPROXIMATE",c(120.8969634, 14.4791297)
"399",374,"OK","Cawayan","Cawayan, Masbate, Philippines","APPROXIMATE",c(123.7294198, 12.0557941)
"400",375,"OK","Cebu","Cebu City, Cebu, Philippines","APPROXIMATE",c(123.8854366, 10.3156992)
"402",376,"OK","Cervantes","Cervantes WA 6511, Australia","APPROXIMATE",c(115.0712472, -30.5023085)
"403",377,"ZERO_RESULTS","Clarin (BL)",NA,NA,c(NA, NA)
"404",378,"ZERO_RESULTS","Clarin (MC)",NA,NA,c(NA, NA)
"405",379,"OK","Claver","Claver, Surigao del Norte, Philippines","APPROXIMATE",c(125.8061779, 9.4833017)
"406",380,"OK","Claveria (CG)","Claveria, Cagayan, Philippines","APPROXIMATE",c(121.0911646, 18.6014185)
"407",381,"OK","Claveria (MO)","Claveria, Cagayan, Philippines","APPROXIMATE",c(121.0911646, 18.6014185)
"409",382,"OK","Claveria (MS)","Claveria, Misamis Oriental, Philippines","APPROXIMATE",c(124.9727096, 8.6787819)
"411",383,"OK","Columbio","Columbio, Sultan Kudarat, Philippines","APPROXIMATE",c(125.0828588, 6.634899)
"412",384,"OK","Compostela (CU)","Compostela, Cebu, Philippines","APPROXIMATE",c(123.9805756, 10.4659)
"413",385,"OK","Compostela (CV)","Compostela, Compostela Valley, Philippines","APPROXIMATE",c(126.084695, 7.6659683)
"414",386,"OK","Concepcion","Concepcion, Tarlac, Philippines","APPROXIMATE",c(120.6523622, 15.3230428)
"415",387,"ZERO_RESULTS","Concepcion (RN)",NA,NA,c(NA, NA)
"416",388,"OK","Concepcion (TC)","Concepcion, TX 78349, USA","APPROXIMATE",c(-98.3554467, 27.3951821)
"417",389,"OK","Conner","Conner, Apayao, Philippines","APPROXIMATE",c(121.2168466, 17.7929294)
"418",390,"OK","Consolacion","Consolacion, Cebu, Philippines","APPROXIMATE",c(123.9415518, 10.4367842)
"419",391,"OK","Corcuera","Municipality of Corcuera, Romblon, Philippines","APPROXIMATE",c(122.0553349, 12.8074809)
"420",392,"OK","Cordon","Cordon, Isabela, Philippines","APPROXIMATE",c(121.4684703, 16.6783497)
"421",393,"OK","Cordova","Cordova, Cebu, Philippines","APPROXIMATE",c(123.9415518, 10.2438638)
"422",394,"OK","Corella","Corella, Bohol, Philippines","APPROXIMATE",c(123.9415518, 9.687231)
"423",395,"OK","Coron","Coron, Palawan, Philippines","APPROXIMATE",c(120.1519011, 12.0489179)
"424",396,"ZERO_RESULTS","Cortes (BL)",NA,NA,c(NA, NA)
"425",397,"ZERO_RESULTS","Cortes (SS)",NA,NA,c(NA, NA)
"426",398,"OK","Cuartero","Cuartero, Capiz, Philippines","APPROXIMATE",c(122.740723, 11.3155974)
"427",399,"OK","Cuenca","Cuenca, Batangas, Philippines","APPROXIMATE",c(121.0507098, 13.9041159)
"429",400,"OK","Culaba","Culaba, Biliran, Philippines","APPROXIMATE",c(124.519604, 11.6440591)
"430",401,"OK","Culasi","Culasi, Antique, Philippines","APPROXIMATE",c(122.1064668, 11.433122)
"431",402,"OK","Culion","Culion, Palawan, Philippines","APPROXIMATE",c(120.0202964, 11.8219287)
"432",403,"OK","Currimao","Currimao, Ilocos Norte, Philippines","APPROXIMATE",c(120.510106, 18.0029484)
"433",404,"OK","Cuyapo","Cuyapo, Nueva Ecija, Philippines","APPROXIMATE",c(120.6890055, 15.799952)
"434",405,"OK","Cuyo","Cuyo, Palawan, Philippines","APPROXIMATE",c(120.9417368, 10.8317576)
"435",406,"OK","Daet","Daet, Camarines Norte, Philippines","APPROXIMATE",c(122.9550349, 14.099578)
"436",407,"OK","Dagami","Dagami, Leyte, Philippines","APPROXIMATE",c(124.8513794, 11.0564668)
"437",408,"ZERO_RESULTS","Dagohoy",NA,NA,c(NA, NA)
"438",409,"OK","Daguioman","Daguioman, Abra, Philippines","APPROXIMATE",c(120.9646866, 17.4361335)
"439",410,"OK","Dagupan","Dagupan, Pangasinan, Philippines","APPROXIMATE",c(120.3333124, 16.0432998)
"440",411,"OK","Dalaguete","Dalaguete, Cebu, Philippines","APPROXIMATE",c(123.5056016, 9.783662)
"441",412,"OK","Damulog","Damulog, Bukidnon, Philippines","APPROXIMATE",c(124.9727096, 7.4602033)
"442",413,"ZERO_RESULTS","Danao (BL)",NA,NA,c(NA, NA)
"443",414,"OK","Danao (CU)","Danao City, Cebu, Philippines","APPROXIMATE",c(123.9527031, 10.5417498)
"444",415,"OK","Dangcagan","Dangcagan, Bukidnon, Philippines","APPROXIMATE",c(125.0167866, 7.6025458)
"445",416,"OK","Danglas","Danglas, Abra, Philippines","APPROXIMATE",c(120.6429991, 17.7449596)
"446",417,"ZERO_RESULTS","Dao",NA,NA,c(NA, NA)
"447",418,"OK","Dapa","Dapa, Surigao del Norte, Philippines","APPROXIMATE",c(126.0675952, 9.7517544)
"449",419,"OK","Dapitan","Dapitan City, Zamboanga del Norte, Philippines","APPROXIMATE",c(123.3945709, 8.6253193)
"450",420,"OK","Cotabato","Cotabato, Philippines","APPROXIMATE",c(125.0388164, 7.1083349)
"452",421,"OK","Daraga","Daraga, Albay, Philippines","APPROXIMATE",c(123.6958809, 13.1028156)
"453",422,"OK","Daram","Daram, Samar, Philippines","APPROXIMATE",c(124.7519807, 11.6804791)
"454",423,"OK","Dasmarinas","Dasmariñas, Cavite, Philippines","APPROXIMATE",c(120.9589699, 14.2990183)
"455",424,"OK","Dasol","Dasol, Pangasinan, Philippines","APPROXIMATE",c(119.9046594, 15.9625872)
"456",425,"OK","Datu Abdullah Sangki","Datu Abdullah Sangki, Maguindanao, Philippines","APPROXIMATE",c(124.5306837, 6.8059674)
"457",426,"OK","Datu Anggal Midtimbang","Datu Anggal Midtimbang, Maguindanao, Philippines","APPROXIMATE",c(124.333333, 6.933333)
"458",427,"OK","Datu Blah TSinsuat","Datu Blah Sinsuat, Maguindanao, Philippines","APPROXIMATE",c(124.0195827, 6.865333)
"459",428,"ZERO_RESULTS","Datu Hoffer Ampatuan",NA,NA,c(NA, NA)
"460",429,"OK","Datu Odin Sinsuat","Datu Odin Sinsuat, Maguindanao, Philippines","APPROXIMATE",c(124.2866091, 7.062732)
"461",430,"OK","Datu Paglas","Datu Paglas, Maguindanao, Philippines","APPROXIMATE",c(124.8844867, 6.7410634)
"462",431,"OK","Datu Piang","Datu Piang, Maguindanao, Philippines","APPROXIMATE",c(124.4974405, 7.0178051)
"463",432,"OK","Datu Salibo","Datu Salibo, Maguindanao, Philippines","APPROXIMATE",c(124.4530968, 7.0032708)
"464",433,"OK","Datu Saudi-Ampatuan","Datu Saudi-Ampatuan, Maguindanao, Philippines","APPROXIMATE",c(124.4530968, 6.9668336)
"465",434,"OK","Datu Unsay","Datu Unsay, Maguindanao, Philippines","APPROXIMATE",c(124.4530968, 6.9122227)
"466",435,"OK","Dauin","Dauin, Negros Oriental, Philippines","APPROXIMATE",c(123.2363246, 9.1990827)
"467",436,"OK","Dauis","Dauis, Bohol, Philippines","APPROXIMATE",c(123.8233901, 9.6074028)
"468",437,"OK","Davao","Davao City, Davao del Sur, Philippines","APPROXIMATE",c(125.455341, 7.190708)
"469",438,"OK","Del Carmen","Del Carmen, Surigao del Norte, Philippines","APPROXIMATE",c(125.9805528, 9.8749769)
"470",439,"OK","Del Gallego","Del Gallego, Camarines Sur, Philippines","APPROXIMATE",c(122.695547, 13.9258748)
"471",440,"OK","Delfin Albano","Delfin Albano, Isabela, Philippines","APPROXIMATE",c(121.7423434, 17.2592492)
"472",441,"OK","Diadi","Diadi, Nueva Vizcaya, Philippines","APPROXIMATE",c(121.3312882, 16.659499)
"473",442,"OK","Diffun","Diffun, Quirino, Philippines","APPROXIMATE",c(121.4684703, 16.5528764)
"474",443,"OK","Digos","Digos City, Davao del Sur, Philippines","APPROXIMATE",c(125.352398, 6.7575087)
"475",444,"OK","Dilasag","Dilasag, Aurora, Philippines","APPROXIMATE",c(122.151897, 16.4374658)
"476",445,"OK","Dimasalang","Dimasalang, Masbate, Philippines","APPROXIMATE",c(123.8522923, 12.167234)
"477",446,"OK","Dimataling","Dimataling, Zamboanga del Sur, Philippines","APPROXIMATE",c(123.3466134, 7.5111272)
"478",447,"OK","Dimiao","Dimiao, Bohol, Philippines","APPROXIMATE",c(124.1420679, 9.6647867)
"479",448,"OK","Dinagat","Dinagat Islands, Philippines","APPROXIMATE",c(125.6095474, 10.1281816)
"481",449,"OK","Dinalungan","Dinalungan, Aurora, Philippines","APPROXIMATE",c(121.8790306, 16.150936)
"482",450,"OK","Dinalupihan","Dinalupihan, Bataan, Philippines","APPROXIMATE",c(120.4545801, 14.8780629)
"483",451,"OK","Dinapigue","Dinapigue, Isabela, Philippines","APPROXIMATE",c(122.2200065, 16.6959631)
"484",452,"ZERO_RESULTS","Dinas",NA,NA,c(NA, NA)
"485",453,"OK","Dingalan","Dingalan, Aurora, Philippines","APPROXIMATE",c(121.3780165, 15.4000077)
"486",454,"OK","Dingle","Dingle, Iloilo, Philippines","APPROXIMATE",c(122.650351, 11.0111309)
"488",455,"OK","Dingras","Dingras, Ilocos Norte, Philippines","APPROXIMATE",c(120.7234992, 18.0804954)
"489",456,"OK","Dipaculao","Dipaculao, Aurora, Philippines","APPROXIMATE",c(121.6331088, 15.984298)
"490",457,"OK","Diplahan","Diplahan, Zamboanga Sibugay, Philippines","APPROXIMATE",c(122.9663018, 7.7485401)
"491",458,"OK","Dipolog","Dipolog City, Zamboanga del Norte, Philippines","APPROXIMATE",c(123.3373916, 8.5142736)
"492",459,"OK","Ditsaan-Ramain","Ditsaan-Ramain, Lanao del Sur, Philippines","APPROXIMATE",c(124.3476909, 8.0012742)
"493",460,"OK","Divilacan","Divilacan, Isabela, Philippines","APPROXIMATE",c(122.151897, 17.2704978)
"494",461,"ZERO_RESULTS","Dolores (AA)",NA,NA,c(NA, NA)
"495",462,"ZERO_RESULTS","Dolores (ES)",NA,NA,c(NA, NA)
"496",463,"ZERO_RESULTS","Dolores (QN)",NA,NA,c(NA, NA)
"497",464,"OK","Don Carlos","Don Carlos, Bukidnon, Philippines","APPROXIMATE",c(124.8844867, 7.6880909)
"498",465,"OK","Don Marcelino","Don Marcelino, Davao del Sur, Philippines","APPROXIMATE",c(125.6314191, 6.145602)
"499",466,"OK","Don Victoriano Chiongbian","Don Victoriano Chiongbian, Misamis Occidental, Philippines","APPROXIMATE",c(123.5951925, 8.2542401)
"500",467,"OK","Dona Remedios Trinidad","Doña Remedios Trinidad, Bulacan, Philippines","APPROXIMATE",c(121.2168466, 15.1142696)
"501",468,"OK","Donsol","Donsol, Sorsogon, Philippines","APPROXIMATE",c(123.5504076, 12.9943166)
"502",469,"OK","Duenas","Dueñas, Iloilo, Philippines","APPROXIMATE",c(122.593828, 11.0671826)
"503",470,"OK","Duero","Duero, Bohol, Philippines","APPROXIMATE",c(124.3865392, 9.7324527)
"504",471,"OK","Dulag","Dulag, Leyte, Philippines","APPROXIMATE",c(125.0057695, 10.9591507)
"505",472,"OK","Dumaguete","Dumaguete, Negros Oriental, Philippines","APPROXIMATE",c(123.3054467, 9.3068402)
"506",473,"OK","Dumalag","Dumalag, Capiz, Philippines","APPROXIMATE",c(122.6164409, 11.3210606)
"507",474,"OK","Dumalinao","Dumalinao, Zamboanga del Sur, Philippines","APPROXIMATE",c(123.3710571, 7.7879173)
"508",475,"OK","Dumalneg","Dumalneg, Ilocos Norte, Philippines","APPROXIMATE",c(120.8269231, 18.4755816)
"509",476,"OK","Dumangas","Dumangas, Iloilo, Philippines","APPROXIMATE",c(122.695547, 10.8484102)
"510",477,"OK","Dumanjug","Dumanjug, Cebu, Philippines","APPROXIMATE",c(123.4719832, 10.0281876)
"511",478,"OK","Dumaran","Dumaran, Palawan, Philippines","APPROXIMATE",c(119.6730939, 10.506656)
"512",479,"OK","Dumarao","Dumarao, Capiz, Philippines","APPROXIMATE",c(122.695547, 11.2421989)
"513",480,"OK","Dumingag","Dumingag, Zamboanga del Sur, Philippines","APPROXIMATE",c(123.3037143, 8.1875395)
"514",481,"OK","Dupax Del Norte","Dupax Del Norte, Nueva Vizcaya, Philippines","APPROXIMATE",c(121.1220703, 16.3058213)
"515",482,"OK","Dupax Del Sur","Dupax Del Sur, Nueva Vizcaya, Philippines","APPROXIMATE",c(121.0967899, 16.291992)
"516",483,"OK","E. B. Magalona","Enrique B. Magalona, Negros Occidental, Philippines","APPROXIMATE",c(122.9789587, 10.879266)
"517",484,"OK","Echague","Echague, Isabela, Philippines","APPROXIMATE",c(121.7171058, 16.6701364)
"518",485,"OK","El Nido","El Nido, Palawan, Philippines","APPROXIMATE",c(119.5082006, 11.1905581)
"519",486,"OK","El Salvador","El Salvador","APPROXIMATE",c(-88.89653, 13.794185)
"520",487,"ZERO_RESULTS","Enrile",NA,NA,c(NA, NA)
"521",488,"OK","Enrique Villanueva","Enrique Villanueva, Siquijor, Philippines","APPROXIMATE",c(123.6373254, 9.2721592)
"522",489,"OK","Escalante","Escalante City, Negros Occidental, Philippines","APPROXIMATE",c(123.5056016, 10.8291458)
"523",490,"ZERO_RESULTS","Esperanza (AS)",NA,NA,c(NA, NA)
"524",491,"OK","Esperanza (MS)","Esperanza, MS 38863, USA","APPROXIMATE",c(-89.1609023, 34.3578825)
"525",492,"OK","Esperanza (SK)","Esperanza, Sultan Kudarat, Philippines","APPROXIMATE",c(124.5448753, 6.6988987)
"526",493,"OK","Estancia","1605 Meralco Ave, Ortigas Center, Pasig, 1605 Metro Manila, Philippines","ROOFTOP",c(121.0631469, 14.5763396)
"527",494,"OK","Famy","Famy, Laguna, Philippines","APPROXIMATE",c(121.4842448, 14.4730084)
"528",495,"OK","Ferrol","Ferrol, A Coruña, Spain","APPROXIMATE",c(-8.2193451, 43.489646)
"529",496,"ZERO_RESULTS","Flora",NA,NA,c(NA, NA)
"530",497,"OK","Floridablanca","Floridablanca, Pampanga, Philippines","APPROXIMATE",c(120.4938501, 14.9350752)
"531",498,"OK","Gabaldon","Gabaldon, Nueva Ecija, Philippines","APPROXIMATE",c(121.3084088, 15.5154793)
"532",499,"OK","Gainza","Gainza, Camarines Sur, Philippines","APPROXIMATE",c(123.15, 13.6166671)
"533",500,"OK","Galimuyod","Galimuyod, Ilocos Sur, Philippines","APPROXIMATE",c(120.5221524, 17.1889596)
